aptamer,any_motif,total
MBE10a,yes,4
MBE11a,yes,4
MBE12a,yes,4
MBE13a,no,0
MBE14a,yes,3
MBE15a,yes,2
MBE17a,yes,4
MBE19a,yes,2
MBE1a,yes,2
MBE20a,yes,3
MBE21a,yes,3
MBE22a,yes,1
MBE23a,yes,2
MBE24a,yes,2
MBE25a,yes,1
MBE26a,yes,4
MBE27a,yes,1
MBE28a,yes,3
MBE29a,yes,1
MBE2a,yes,3
MBE30a,yes,1
MBE31a,yes,5
MBE32a,yes,3
MBE33a,yes,1
MBE34a,yes,1
MBE35a,yes,3
MBE36a,yes,3
MBE37a,yes,1
MBE38a,yes,2
MBE39a,yes,4
MBE3a,yes,1
MBE40a,yes,4
MBE41a,no,0
MBE42a,yes,3
MBE43a,yes,3
MBE44a,no,0
MBE45a,yes,2
MBE46a,yes,4
MBE47a,yes,4
MBE48a,yes,4
MBE49a,no,0
MBE4a,yes,1
MBE50a,yes,2
MBE51a,yes,3
MBE52a,yes,2
MBE53a,yes,1
MBE54a,yes,2
MBE55a,yes,4
MBE57a,yes,1
MBE59a,yes,4
MBE5a,yes,3
MBE62a,yes,2
MBE63a,yes,1
MBE64a,yes,2
MBE65a,yes,4
MBE68a,yes,1
MBE6a,yes,2
MBE70a,yes,1
MBE71a,yes,1
MBE72a,yes,3
MBE7a,yes,4
MBE8a,yes,1
MBE9a,yes,3
